Initial Velocity,Extension Lookup Table
58.0,"[[0.0, 163.49563098638163], [0.1, 163.06542399708195], [0.2, 161.77828224251618], [0.3, 160.54946145257333], [0.4, 162.8713786796194], [0.5, 159.2827122705803], [0.6, 158.85218980250244], [0.7, 157.93265435844103], [0.8, 157.89112795040018], [0.9, 156.76167247013478], [1.0, 157.1916269634076]]"
57.0,"[[0.0, 156.6040423477612], [0.1, 157.14717727099185], [0.2, 156.78377450377127], [0.3, 155.58667423029243], [0.4, 153.77235309257725], [0.5, 153.53452331590205], [0.6, 154.51618436441322], [0.7, 154.58837487540376], [0.8, 154.40277445478506], [0.9, 150.62019924770965], [1.0, 151.3213430573503]]"
56.0,"[[0.0, 150.7970941017391], [0.1, 152.04415858957776], [0.2, 151.6839178399282], [0.3, 151.29894863256544], [0.4, 150.40957109062452], [0.5, 149.0361609494679], [0.6, 147.70536446854402], [0.7, 148.95677873237167], [0.8, 147.89799943194356], [0.9, 147.77434760057412], [1.0, 146.38305466054624]]"
55.0,"[[0.0, 145.8182874950582], [0.1, 145.16450688128884], [0.2, 145.6293299107873], [0.3, 145.749735162979], [0.4, 145.7578719202201], [0.5, 145.13904341641614], [0.6, 143.31173486051773], [0.7, 144.098098236667], [0.8, 144.4747371865323], [0.9, 142.93618575002034], [1.0, 141.4274195516366]]"
54.0,"[[0.0, 141.90130045031566], [0.1, 140.92486248375224], [0.2, 140.10938252134144], [0.3, 139.1744867983174], [0.4, 141.8194495182517], [0.5, 140.06004073185034], [0.6, 138.0591673275245], [0.7, 140.4353590733391], [0.8, 138.17027427446044], [0.9, 136.5189664813576], [1.0, 136.38974113593906]]"
53.0,"[[0.0, 137.71597771521357], [0.1, 135.12107785916356], [0.2, 135.87496760480974], [0.3, 135.74153932281297], [0.4, 135.8216749155245], [0.5, 134.4090350821607], [0.6, 135.1791761298212], [0.7, 133.88372664243138], [0.8, 133.69666095363806], [0.9, 132.55656323748218], [1.0, 133.85024521173818]]"
52.0,"[[0.0, 129.92391944649307], [0.1, 131.96805371229073], [0.2, 134.9552488671743], [0.3, 130.81244096698185], [0.4, 129.34566830495743], [0.5, 130.37457947979118], [0.6, 129.6237833811578], [0.7, 128.82544421988416], [0.8, 128.4664142120057], [0.9, 127.3442949553056], [1.0, 126.76520950320906]]"
51.0,"[[0.0, 128.48398138512698], [0.1, 125.57742228481288], [0.2, 126.3335358188209], [0.3, 126.55145942620857], [0.4, 127.12992447320005], [0.5, 125.8934346031686], [0.6, 123.66952880227689], [0.7, 125.04174303459826], [0.8, 124.14486895457827], [0.9, 122.70102783886153], [1.0, 123.18207727743516]]"
50.0,"[[0.0, 120.73350338553195], [0.1, 120.76214192607227], [0.2, 121.10597659372434], [0.3, 119.66677273247547], [0.4, 120.38689876425667], [0.5, 120.27114436003859], [0.6, 119.89170679281466], [0.7, 119.96200643797624], [0.8, 119.87218382116072], [0.9, 120.29742331573885], [1.0, 117.6745150863473]]"
49.0,"[[0.0, 118.0581660658998], [0.1, 118.16979189901673], [0.2, 118.33214042010383], [0.3, 116.61809776597056], [0.4, 116.87165966142697], [0.5, 114.76369780283272], [0.6, 115.75877625072468], [0.7, 114.3611157875273], [0.8, 116.01514621994096], [0.9, 115.66313460225246], [1.0, 113.93783924618106]]"
